evaluated_at_utc,evaluated_at_ept,forecast_datetime_beginning_utc,forecast_datetime_beginning_ept,forecast_datetime_ending_utc,forecast_datetime_ending_ept,forecast_area,forecast_load_mw
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 6:10:00 PM,10/15/2020 2:10:00 PM,10/15/2020 6:15:00 PM,10/15/2020 2:15:00 PM,EKPC,1196.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 6:15:00 PM,10/15/2020 2:15:00 PM,10/15/2020 6:20:00 PM,10/15/2020 2:20:00 PM,EKPC,1197.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 6:20:00 PM,10/15/2020 2:20:00 PM,10/15/2020 6:25:00 PM,10/15/2020 2:25:00 PM,EKPC,1197.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 6:25:00 PM,10/15/2020 2:25:00 PM,10/15/2020 6:30:00 PM,10/15/2020 2:30:00 PM,EKPC,1197.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 4:35:00 PM,10/15/2020 12:35:00 PM,ATSI,7513.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 4:35:00 PM,10/15/2020 12:35:00 PM,10/15/2020 4:40:00 PM,10/15/2020 12:40:00 PM,ATSI,7514.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 4:40:00 PM,10/15/2020 12:40:00 PM,10/15/2020 4:45:00 PM,10/15/2020 12:45:00 PM,ATSI,7516.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 4:45:00 PM,10/15/2020 12:45:00 PM,10/15/2020 4:50:00 PM,10/15/2020 12:50:00 PM,ATSI,7517.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 4:50:00 PM,10/15/2020 12:50:00 PM,10/15/2020 4:55:00 PM,10/15/2020 12:55:00 PM,ATSI,7518.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 4:55:00 PM,10/15/2020 12:55:00 PM,10/15/2020 5:00:00 PM,10/15/2020 1:00:00 PM,ATSI,7518.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:00:00 PM,10/15/2020 1:00:00 PM,10/15/2020 5:05:00 PM,10/15/2020 1:05:00 PM,ATSI,7519.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:05:00 PM,10/15/2020 1:05:00 PM,10/15/2020 5:10:00 PM,10/15/2020 1:10:00 PM,ATSI,7519.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:10:00 PM,10/15/2020 1:10:00 PM,10/15/2020 5:15:00 PM,10/15/2020 1:15:00 PM,ATSI,7518.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:15:00 PM,10/15/2020 1:15:00 PM,10/15/2020 5:20:00 PM,10/15/2020 1:20:00 PM,ATSI,7518.000000
10/15/2020 4:30:00 PM,10/15/2020 12:30:00 PM,10/15/2020 5:20:00 PM,10/15/2020 1:20:00 PM,10/15/2020 5:25:00 PM,10/15/2020 1:25:00 PM,ATSI,7516.000000
