PNODEID,PNODENAME,PNODETYPE,STATE
48833,BRADFORD230 KV CTVS1,LOAD,PA
48840,BUCKINGH35 KV 2 TR,LOAD,PA
48841,BUCKINGH35 KV 3 TR,LOAD,PA
48842,BUCKINGH35 KV 4 TR,LOAD,PA
48843,BUCKINGH35 KV 5 TR,LOAD,PA
48847,BYBERRY 13 KV 21BUS,LOAD,PA
48848,BYBERRY 13 KV 1BUS,LOAD,PA
48849,BYBERRY 13 KV 7BUS,LOAD,PA
48850,BYBERRY 13 KV 9BUS,LOAD,PA
48851,BYBERRY 35 KV KBUS,LOAD,PA
48852,CALLOWHI13 KV 1BUS,LOAD,PA
48853,CALLOWHI13 KV 4BUS,LOAD,PA
48854,CALLOWHI13 KV 7BUS,LOAD,PA
48855,CEDARBRO13 KV NBU3,LOAD,PA
48856,CEDARBRO13 KV NBU1,LOAD,PA
48857,CEDARBRO13 KV NBU2,LOAD,PA
48858,CEDARBRO13 KV NBU4,LOAD,PA
48862,CHICHEST230 KV DBU1,LOAD,PA
48863,CHICHEST230 KV DBU2,LOAD,PA
48864,CLAY PE 35 KV KBUS,LOAD,PA
48865,COCHRNVL230 KV 1TR,LOAD,PA
48867,CROMBY 35 KV 1BUS,LOAD,PA
48868,CROMBY 35 KV 3BUS,LOAD,PA
48869,CROMBY 35 KV 4BUS,LOAD,PA
48870,CROMBY 35 KV 2BUS,LOAD,PA
48873,CROYDON 13 KV LD1,LOAD,PA
48874,CROYDON 13 KV LD2,LOAD,PA
48880,DALESVIL230 KV 1TR,LOAD,PA
48881,DALESVIL230 KV 2TR,LOAD,PA
48882,DELA PE 13 KV 1BUS,LOAD,PA
48883,DELA PE 13 KV 2BUS,LOAD,PA
48884,EDDINGTO13 KV 6BUS,LOAD,PA
48885,EDDINGTO13 KV 4BUS,LOAD,PA
48886,EDDYSTON69 KV IBUS,LOAD,PA
48894,EMILIE 13 KV 131BUS,LOAD,PA
48895,EMILIE 13 KV 132BUS,LOAD,PA
48896,EMILIE 35 KV 1BUS,LOAD,PA
48897,EMILIE 35 KV 2BUS,LOAD,PA
48898,FALLS 35 KV BU1K,LOAD,PA
48899,FALLS 35 KV BU12,LOAD,PA
48900,FLINT 13 KV 2BUS,LOAD,PA
48901,FLINT 13 KV 3BUS,LOAD,PA
48902,FOULK 13 KV NBU1,LOAD,PA
48903,FOULK 13 KV NBU2,LOAD,PA
48904,FOXCHASE13 KV NBU4,LOAD,PA
48905,FOXCHASE13 KV NBU6,LOAD,PA
48907,GOSHEN 35 KV BUS1,LOAD,PA
48908,GOSHEN 35 KV BUS2,LOAD,PA
48912,GRAYFR_113 KV AUX,LOAD,PA
48913,HEATON 35 KV K1BU,LOAD,PA
48914,HEATON 35 KV K2BU,LOAD,PA
48920,ISLANDRD13 KV 1BUS,LOAD,PA
48921,ISLANDRD13 KV 2BUS,LOAD,PA
48922,ISLANDRD13 KV 3BUS,LOAD,PA
48923,ISLANDRD13 KV 4BUS,LOAD,PA
48924,ISLANDRD13 KV 7BUS,LOAD,PA
48925,ISLANDRD13 KV 8BUS,LOAD,PA
48926,JARRET 13 KV 1BUS,LOAD,PA
48927,JARRET 13 KV 2BUS,LOAD,PA
48928,JENKINTO13 KV 13BUS,LOAD,PA
48929,JENKINTO13 KV 12BUS,LOAD,PA
48930,JENKINTO13 KV 11BUS,LOAD,PA
48934,JENNERVL230 KV 1TR,LOAD,PA
48940,LINTON 35 KV KBU2,LOAD,PA
48941,LINTON 35 KV KBU3,LOAD,PA
48942,LLANERCH35 KV 1BUS,LOAD,PA
48943,LLANERCH35 KV 2BUS,LOAD,PA
48944,LLANERCH35 KV 3BUS,LOAD,PA
48947,LOMBARD 13 KV NBU2,LOAD,PA
48948,LOMBARD 13 KV NBU3,LOAD,PA
48949,LOMBARD 13 KV NBU9,LOAD,PA
48950,LOMBARD 13 KV NB12,LOAD,PA
48951,LOMBARD 13 KV NBU1,LOAD,PA
48952,LOMBARD 13 KV NB10,LOAD,PA
48953,LOMBARD 13 KV NB11,LOAD,PA
48954,MARCUSHO13 KV BS1,LOAD,PA
48955,MACDADE 13 KV 1BUS,LOAD,PA
48956,MACDADE 13 KV 2BUS,LOAD,PA
48957,MACDADE 13 KV 3BUS,LOAD,PA
48959,MIDD PE 13 KV 13-1LOAD,LOAD,PA
48960,MIDD PE 13 KV 13-2LOAD,LOAD,PA
48961,MIDD PE 35 KV BUS1,LOAD,PA
48966,MORTON 13 KV 1BUS,LOAD,PA
48968,NPHILADE13 KV BUS1,LOAD,PA
48970,NESHAMIN138 KV BU2F,LOAD,PA
48971,NESHAMIN138 KV BU3F,LOAD,PA
48972,NEWLINVI35 KV BUSK,LOAD,PA
48973,NEWLINVI230 KV BUSD,LOAD,PA
48974,NOTTINGH35 KV BUSK,LOAD,PA
48976,PACKER 69 KV LD1,LOAD,PA
48977,PACKER 69 KV LD2,LOAD,PA
48978,PARRISH 13 KV 2BUS,LOAD,PA
48979,PARRISH 13 KV 1BUS,LOAD,PA
48980,PARRISH 13 KV 3BUS,LOAD,PA
48981,PASSYUNK13 KV 3BUS,LOAD,PA
48982,PASSYUNK13 KV 6BUS,LOAD,PA
48984,PENCOYD 13 KV 1TR,LOAD,PA
48985,PENCOYD 13 KV 2TR,LOAD,PA
48986,PENCOYD 13 KV 3TR,LOAD,PA
